quarter,group,n,n_lc,score_min,score_max,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim,sem_pairwise_cosine_lo,sem_pairwise_cosine_hi,lc_sem_pairwise_cosine_lo,lc_sem_pairwise_cosine_hi
2021Q1,high,400,333,1,41,0.12021031364320765,0.8775902121409004,76.43157227096026,0.13654000053388246,0.8608670264947478,72.41162594662472,0.11360390637043444,0.1279023615412281,0.12836424612455732,0.14499637482575728
2021Q1,low,400,303,-6,1,0.12329298309682835,0.8745152493609137,74.86736113257373,0.14065958591911937,0.8565043071037161,70.31439559392716,0.11608233761349242,0.13126698721338478,0.13193121873328792,0.1495023467247202
2021Q2,high,400,344,1,68,0.11397668919744337,0.8838082525255502,77.75357818033548,0.13066144557645257,0.8668114074630139,74.53894347479097,0.10676255636990703,0.12118751572291883,0.12237361402225258,0.13852096592618737
2021Q2,low,400,314,-5,1,0.11843814608785995,0.8793579492773597,78.09915462441258,0.13658027828579927,0.8606699773775313,73.27977173835158,0.1106084346945917,0.12595167457715478,0.12734079198327983,0.14576722978295537
2021Q3,high,400,325,1,54,0.1117669483886103,0.8860124689823612,79.08386634467854,0.12259053858862677,0.8747097399916459,74.55617563827124,0.10494608364584533,0.1190874737557311,0.11506411636374693,0.13050633565675893
2021Q3,low,400,297,-6,1,0.11274673277838722,0.8850351340535587,74.24427735395925,0.12727737829346017,0.8697841617007939,69.66740758576498,0.1056042069972712,0.11982411733495506,0.1190002892291164,0.1355802783168055
2021Q4,high,373,317,1,38,0.12280246244920166,0.874845801525193,74.64836747122922,0.14111489106953493,0.8561756921830503,72.27690303446134,0.11552973825424696,0.1305531931892983,0.13253408296948785,0.1502551875839644
2021Q4,low,374,287,-3,1,0.11701825541181256,0.880620830832604,74.76007233333272,0.13518065471390864,0.8618060374627949,67.65093797325353,0.10993877011443985,0.12437343073902754,0.1254036432357253,0.14445222663618384
2022Q1,high,400,339,1,25,0.11261725035199695,0.8851642927738831,76.45281613986938,0.12806070202923658,0.8693672056463659,72.99942043971893,0.10598895492651099,0.11966364020171452,0.12137008874417629,0.1358455178298727
2022Q1,low,400,314,-4,1,0.12043175981130606,0.8773693195882222,74.06419633764776,0.1364212585953289,0.8608284906358664,68.99499837076695,0.11324395421587627,0.12751049108076706,0.12790133284941052,0.14435393980452263
